Supplier_GSTIN,Customer GSTIN,Invoice_Number,Invoice_Date,Tax Rate,Invoice Taxable,Invoice CGST,Invoice SGST,Invoice IGST,Invoice Total_GST,Invoice Total_Amount,Transaction_Type,Document_Type,Origin,Vendor,Ticket_Number,PNR,Ticket/PNR
29AACCR1459F1ZC,29ABCDE1234F5ZC,12924/0000081384,9/28/2023,5,28022,0,0,1402,1402,30191,Invoice,INV,BLR,Spicejet,K8M9RI,K8M9RI,K8M9RI
07AAECT8346F1Z6,29ABCDE1234F5ZC,I070000016038889,9/4/2023,12,25921,0,0,3111,3111,29421,Invoice,INV,DEL,Vistara,1189030774,NDP7ZK,1189030774
27AAECT8346F1Z4,29ABCDE1234F5ZC,I270000008960895,5/14/2023,5,25410,0,0,1271,1271,27035,Invoice,INV,BOM,Vistara,1189030623,QEBT56,1189030623
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232405AN06299,5/23/2023,5,23207,0,0,1160,1160,24755,Invoice,INV,DEL,Indigo,"F1QKUE,F1QKUE",F1QKUE,F1QKUE
03AABCI2726B1ZC,29ABCDE1234F5ZC,PB1232406AC66865,6/5/2023,5,22153,0,0,1108,1108,24353,Invoice,INV,IXC,Indigo,"L19GYX,L19GYX",L19GYX,L19GYX
36AAECT8346F5Z1,,I360000001834055,4/29/2023,5,21327,0,0,1067,1067,23456,Invoice,INV,HYD,Vistara,1189030595,R67RXU,1189030595
07AACCR1459F1ZI,,10724/0000247019,6/29/2023,5,43606,0,0,2182,2182,46564,Invoice,INV,DEL,Spicejet,WHMBVN,WHMBVN,WHMBVN
07AAECT8346F1Z6,,I070000014985145,6/9/2023,5,21127,0,0,1057,1057,22573,Invoice,INV,DEL,Vistara,1189030658,VHC7YS,1189030658
07AABCI2726B1Z4,,DL1232405AN69147,5/25/2023,5,21782,0,0,1089,1089,23259,Invoice,INV,DEL,Indigo,"OTGGGD,OTGGGD",OTGGGD,OTGGGD
07AAECT8346F1Z6,,I070000015862489,8/20/2023,5,20872,0,0,1045,1045,22306,Invoice,INV,DEL,Vistara,9340901258,6WHSF9,9340901258
07AAECT8346F1Z6,,I070000015862488,8/20/2023,5,20872,0,0,1045,1045,22306,Invoice,INV,DEL,Vistara,9340901257,6WHSF9,9340901257
10AABCI2726B1ZH,,BR1232406AC48357,6/7/2023,5,20678,0,0,1034,1034,22189,Invoice,INV,PAT,Indigo,"X2YKPH,X2YKPH",X2YKPH,X2YKPH
07AABCI2726B1Z4,,DL1232406AP47148,6/1/2023,5,20238,0,0,1012,1012,21638,Invoice,INV,DEL,Indigo,VNZ8TY,VNZ8TY,VNZ8TY
27AABCI2726B1Z2,,MH1232405AM41581,5/12/2023,5,19475,0,0,974,974,20803,Invoice,INV,BOM,Indigo,LS6KWG,LS6KWG,LS6KWG
07AABCI2726B1Z4,,DL1232406AV51262,6/24/2023,,0,0,0,0,0,19097,Invoice,INV,DEL,Indigo,V2JWVH,V2JWVH,V2JWVH
07AABCI2726B1Z4,,DL1232406AV53886,6/24/2023,,0,0,0,0,0,19097,Invoice,INV,DEL,Indigo,YKT18B,YKT18B,YKT18B
07AABCI2726B1Z4,,DL1232406AV52567,6/24/2023,,0,0,0,0,0,57291,Invoice,INV,DEL,Indigo,WT7LMG,WT7LMG,WT7LMG
07AABCI2726B1Z4,,DL1232406AP46204,6/1/2023,5,18709,0,0,935,935,20032,Invoice,INV,DEL,Indigo,"UQ2K8M,UQ2K8M",UQ2K8M,UQ2K8M
18AABCI2726B1Z1,,AS1232405AB52872,5/8/2023,,0,0,0,0,0,19325,Invoice,INV,DIB,Indigo,JQ3UWM,JQ3UWM,JQ3UWM
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232404AG90765,4/29/2023,5,36156,0,0,1808,1808,38740,Invoice,INV,DEL,Indigo,KPPEHM,KPPEHM,KPPEHM
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232405AH30781,5/1/2023,5,188,0,0,10,10,198,Invoice,INV,DEL,Indigo,KPPEHM,KPPEHM,KPPEHM
07AABCI2726B1Z4,29ABCDE1234F5ZC,DL1232406AQ70830,6/6/2023,5,18649,0,0,933,933,19970,Invoice,INV,DEL,Indigo,U2W56R,U2W56R,U2W56R
